recording_id,speaker_id,has_keyword,start_s,end_s,duration_s,noise_type,noise_level,has_background_speech,is_clean,exclude,exclude_reason,raw_noise_text,short_label_warning
001,01,True,11.8,12.100000000000001,0.3,clean,none,True,True,False,,None,False
002,01,True,11.5,11.7,0.2,clean,none,True,True,False,,None,False
003,01,True,12.0,12.2,0.2,white_noise,medium,True,False,False,,White Noise with medium level,False
004,01,True,11.9,12.1,0.2,white_noise,high,True,False,False,,White Noise with high level,False
005,01,True,11.4,11.8,0.4,clean,none,True,True,False,,None,False
006,01,True,11.5,12.4,0.9,clean,none,True,True,False,,None,False
007,01,True,12.0,12.4,0.4,clean,none,True,True,False,,None,False
008,01,True,11.6,11.799999999999999,0.2,clean,none,True,True,False,,None,False
009,01,True,11.6,12.6,1.0,clean,none,True,True,False,,None,False
010,01,True,11.6,11.9,0.3,clean,none,True,True,False,,None,False
011,01,True,11.3,11.600000000000001,0.3,clean,none,True,True,False,,None,False
012,01,True,11.8,12.8,1.0,white_noise,medium,True,False,False,,White Noise with medium level,False
013,01,True,11.7,12.0,0.3,clean,none,True,True,False,,None,False
014,01,True,11.6,11.799999999999999,0.2,clean,none,True,True,False,,None,False
015,01,True,11.6,11.9,0.3,clean,none,True,True,False,,None,False
016,01,True,11.9,12.200000000000001,0.3,clean,none,True,True,False,,None,False
017,01,True,11.6,11.9,0.3,clean,none,True,True,False,,None,False
018,01,True,11.8,12.0,0.2,clean,none,True,True,False,,None,False
019,01,True,12.0,13.0,1.0,clean,none,True,True,False,,None,False
020,01,True,11.3,12.600000000000001,1.3,clean,none,True,True,False,,None,False
021,01,True,11.7,11.899999999999999,0.2,clean,none,True,True,False,,None,False
022,01,True,11.6,11.75,0.15,clean,none,True,True,False,,None,True
023,01,True,11.7,12.5,0.8,clean,none,True,True,False,,None,False
024,01,True,11.5,11.8,0.3,clean,none,True,True,False,,None,False
025,01,True,11.7,12.0,0.3,clean,none,True,True,False,,None,False
026,01,True,11.6,11.799999999999999,0.2,white_noise,medium,True,False,False,,White Noise with medium levelne,False
027,01,True,11.8,12.0,0.2,music,high,True,False,False,,Music with high level,False
028,01,True,11.5,11.8,0.3,clean,none,True,True,False,,None,False
029,01,True,11.3,11.4,0.1,clean,none,True,True,False,,None,True
030,01,True,11.3,11.4,0.1,clean,none,True,True,False,,None,True
031,01,True,11.9,12.200000000000001,0.3,clean,none,True,True,False,,None,False
032,01,True,11.7,12.1,0.4,clean,none,True,True,False,,None,False
033,01,True,11.7,13.0,1.3,clean,none,True,True,False,,None,False
034,01,True,11.8,12.9,1.1,clean,none,True,True,False,,None,False
035,01,True,11.8,12.100000000000001,0.3,clean,none,True,True,False,,None,False
036,01,True,11.6,11.7,0.1,clean,none,True,True,False,,None,True
037,01,True,11.8,12.0,0.2,clean,none,True,True,False,,None,False
038,01,False,,,,music,high,True,False,False,,Music with high level,False
039,01,True,12.0,12.2,0.2,clean,none,True,True,False,,None,False
040,01,True,11.4,11.700000000000001,0.3,clean,none,True,True,False,,None,False
041,01,True,11.5,11.7,0.2,clean,none,True,True,False,,None,False
042,01,True,11.6,11.799999999999999,0.2,clean,none,True,True,False,,None,False
043,01,True,11.7,12.0,0.3,clean,none,True,True,False,,None,False
044,01,True,12.0,12.9,0.9,clean,none,True,True,False,,None,False
045,01,True,11.9,13.200000000000001,1.3,clean,none,True,True,False,,None,False
046,01,True,11.7,11.899999999999999,0.2,clean,none,True,True,False,,None,False
047,01,True,11.6,11.799999999999999,0.2,clean,none,True,True,False,,None,False
048,01,True,11.6,11.799999999999999,0.2,clean,none,True,True,False,,None,False
049,01,True,11.7,12.5,0.8,clean,none,True,True,False,,None,False
050,01,True,11.6,11.799999999999999,0.2,clean,none,True,True,False,,None,False
051,02,True,11.8,11.9,0.1,clean,none,True,True,False,,None,True
052,02,True,11.5,11.6,0.1,clean,none,True,True,False,,None,True
053,02,True,11.5,11.6,0.1,clean,none,True,True,False,,None,True
054,02,True,11.6,12.0,0.4,clean,none,True,True,False,,None,False
055,02,True,11.3,11.4,0.1,clean,none,True,True,False,,None,True
056,02,True,11.7,12.0,0.3,clean,none,True,True,False,,None,False
057,02,True,11.4,11.6,0.2,clean,none,True,True,False,,None,False
058,02,True,12.5,12.8,0.3,clean,none,True,True,False,,None,False
059,02,True,11.5,11.8,0.3,clean,none,True,True,False,,None,False
060,02,True,11.5,11.9,0.4,clean,none,True,True,False,,None,False
061,02,True,11.8,12.200000000000001,0.4,clean,none,True,True,False,,None,False
062,02,True,11.4,11.700000000000001,0.3,clean,none,True,True,False,,None,False
063,02,True,11.3,11.700000000000001,0.4,clean,none,True,True,False,,None,False
064,02,True,11.5,11.8,0.3,clean,none,True,True,False,,None,False
065,02,True,11.4,11.700000000000001,0.3,clean,none,True,True,False,,None,False
066,02,True,11.6,12.1,0.5,clean,none,True,True,False,,None,False
067,02,True,11.4,11.700000000000001,0.3,clean,none,True,True,False,,None,False
068,02,True,11.4,11.700000000000001,0.3,clean,none,True,True,False,,None,False
069,02,True,11.6,11.9,0.3,clean,none,True,True,False,,None,False
070,02,True,11.5,11.8,0.3,clean,none,True,True,False,,None,False
071,02,True,11.6,12.0,0.4,clean,none,True,True,False,,None,False
072,02,True,11.4,11.700000000000001,0.3,clean,none,True,True,False,,None,False
073,02,True,11.3,11.600000000000001,0.3,clean,none,True,True,False,,None,False
074,02,True,11.4,11.8,0.4,clean,none,True,True,False,,None,False
075,02,True,11.4,11.700000000000001,0.3,clean,none,True,True,False,,None,False
076,02,True,11.6,11.9,0.3,clean,none,True,True,False,,None,False
077,02,True,11.4,11.8,0.4,clean,none,True,True,False,,None,False
078,02,True,11.5,11.8,0.3,clean,none,True,True,False,,None,False
079,02,True,11.6,11.9,0.3,clean,none,True,True,False,,None,False
080,02,True,11.4,11.8,0.4,clean,none,True,True,False,,None,False
081,02,True,11.5,11.8,0.3,clean,none,True,True,False,,None,False
082,02,True,11.4,11.6,0.2,clean,none,True,True,False,,None,False
083,02,True,11.8,12.100000000000001,0.3,clean,none,True,True,False,,None,False
084,02,True,11.6,12.1,0.5,clean,none,True,True,False,,None,False
085,02,True,11.3,11.5,0.2,clean,none,True,True,False,,None,False
086,02,True,11.6,11.9,0.3,clean,none,True,True,False,,None,False
087,02,True,11.5,11.7,0.2,clean,none,True,True,False,,None,False
088,02,True,11.5,11.7,0.2,clean,none,True,True,False,,None,False
089,02,True,11.4,11.700000000000001,0.3,clean,none,True,True,False,,None,False
090,02,True,11.8,12.100000000000001,0.3,unspecified,medium,True,False,False,,Noise,False
091,02,True,11.4,11.700000000000001,0.3,unspecified,medium,True,False,False,,Noise,False
092,02,True,11.8,12.100000000000001,0.3,unspecified,medium,True,False,False,,Noise,False
093,02,True,11.5,11.9,0.4,unspecified,medium,True,False,False,,Noise,False
094,02,True,11.6,11.9,0.3,unspecified,medium,True,False,False,,Noise,False
095,02,True,11.4,11.6,0.2,unspecified,medium,True,False,False,,Noise,False
096,02,True,11.3,11.5,0.2,clean,none,True,True,False,,None,False
097,02,True,11.6,12.4,0.8,clean,none,True,True,False,,None,False
098,02,True,12.4,13.200000000000001,0.8,clean,none,True,True,False,,None,False
099,02,True,11.5,11.7,0.2,clean,none,True,True,False,,None,False
100,02,True,11.3,11.4,0.1,clean,none,True,True,False,,None,True
101,03,True,11.9,12.1,0.2,clean,none,True,True,False,,None,False
102,03,True,11.7,12.0,0.3,clean,none,True,True,False,,None,False
103,03,True,11.9,12.200000000000001,0.3,unspecified,medium,True,False,False,,Noise,False
104,03,True,11.6,11.9,0.3,clean,none,True,True,False,,None,False
105,03,True,11.9,12.200000000000001,0.3,clean,none,True,True,False,,None,False
106,03,True,11.4,11.6,0.2,clean,none,True,True,False,,None,False
107,03,True,11.8,13.4,1.6,clean,none,True,True,False,,None,False
108,03,True,11.7,12.0,0.3,clean,none,True,True,False,,None,False
109,03,True,11.5,11.8,0.3,clean,none,True,True,False,,None,False
110,03,True,11.9,12.1,0.2,clean,none,True,True,False,,None,False
111,03,True,11.7,12.1,0.4,clean,none,True,True,False,,None,False
112,03,True,11.6,11.799999999999999,0.2,clean,none,True,True,False,,None,False
113,03,True,11.8,12.200000000000001,0.4,clean,none,True,True,False,,None,False
114,03,True,11.7,12.0,0.3,clean,none,True,True,False,,None,False
115,03,True,11.6,11.799999999999999,0.2,clean,none,True,True,False,,None,False
116,03,True,11.7,12.2,0.5,clean,none,True,True,False,,None,False
117,03,True,12.0,12.4,0.4,clean,none,True,True,False,,None,False
118,03,True,11.9,12.5,0.6,clean,none,True,True,False,,None,False
119,03,True,11.6,11.9,0.3,clean,none,True,True,False,,None,False
120,03,True,11.7,12.0,0.3,clean,none,True,True,False,,None,False
121,03,True,11.9,12.200000000000001,0.3,clean,none,True,True,False,,None,False
122,03,True,11.6,12.0,0.4,clean,none,True,True,False,,None,False
123,03,True,11.9,12.200000000000001,0.3,clean,none,True,True,False,,None,False
124,03,True,11.8,12.5,0.7,clean,none,True,True,False,,None,False
125,03,True,11.9,12.4,0.5,clean,none,True,True,False,,None,False
126,03,True,12.1,12.799999999999999,0.7,clean,none,True,True,False,,None,False
127,03,True,12.1,12.4,0.3,clean,none,True,True,False,,None,False
128,03,True,11.8,12.200000000000001,0.4,clean,none,True,True,False,,None,False
129,03,True,11.9,12.3,0.4,clean,none,True,True,False,,None,False
130,03,True,11.8,12.200000000000001,0.4,clean,none,True,True,False,,None,False
131,03,True,11.5,12.0,0.5,clean,none,True,True,False,,None,False
132,03,True,11.5,11.8,0.3,clean,none,True,True,False,,None,False
133,03,True,11.8,12.100000000000001,0.3,clean,none,True,True,False,,None,False
134,03,True,11.9,13.1,1.2,clean,none,True,True,False,,None,False
135,03,True,11.6,12.0,0.4,clean,none,True,True,False,,None,False
136,03,True,11.5,11.7,0.2,clean,none,True,True,False,,None,False
137,03,True,11.5,11.7,0.2,clean,none,True,True,False,,None,False
138,03,True,11.1,12.299999999999999,1.2,clean,none,True,True,False,,None,False
139,03,True,11.7,12.0,0.3,clean,none,True,True,False,,None,False
140,03,True,11.8,12.100000000000001,0.3,clean,none,True,True,False,,None,False
141,03,True,11.7,12.0,0.3,clean,none,True,True,False,,None,False
142,03,True,11.8,12.100000000000001,0.3,clean,none,True,True,False,,None,False
143,03,True,11.7,12.399999999999999,0.7,clean,none,True,True,False,,None,False
144,03,True,11.5,12.4,0.9,clean,none,True,True,False,,None,False
145,03,True,12.1,12.4,0.3,clean,none,True,True,False,,None,False
146,03,True,11.8,12.700000000000001,0.9,clean,none,True,True,False,,None,False
147,03,True,11.7,12.0,0.3,clean,none,True,True,False,,None,False
148,03,True,12.0,12.6,0.6,clean,none,True,True,False,,None,False
149,03,True,11.7,12.1,0.4,clean,none,True,True,False,,None,False
150,03,True,11.4,11.9,0.5,clean,none,True,True,False,,None,False
151,04,True,11.3,11.600000000000001,0.3,clean,none,True,True,False,,None,False
152,04,True,10.7,11.0,0.3,clean,none,True,True,False,,None,False
153,04,True,11.0,11.2,0.2,clean,none,True,True,False,,None,False
154,04,True,12.0,12.2,0.2,clean,none,True,True,False,,None,False
155,04,True,10.5,10.7,0.2,clean,none,True,True,False,,None,False
156,04,True,10.2,10.399999999999999,0.2,clean,none,True,True,False,,None,False
157,04,True,11.7,11.899999999999999,0.2,clean,none,True,True,False,,None,False
158,04,True,12.0,12.2,0.2,clean,none,True,True,False,,None,False
159,04,True,10.8,11.100000000000001,0.3,clean,none,True,True,False,,None,False
160,04,True,11.5,12.2,0.7,clean,none,True,True,False,,None,False
161,04,True,11.1,11.4,0.3,clean,none,True,True,False,,None,False
162,04,True,11.3,11.600000000000001,0.3,clean,none,True,True,False,,None,False
163,04,True,10.8,11.0,0.2,clean,none,True,True,False,,None,False
164,04,True,12.1,12.4,0.3,clean,none,True,True,False,,None,False
165,04,True,10.6,11.0,0.4,clean,none,True,True,False,,None,False
166,04,True,10.4,11.200000000000001,0.8,clean,none,True,True,False,,None,False
167,04,True,12.0,12.3,0.3,clean,none,True,True,False,,None,False
168,04,True,10.8,11.600000000000001,0.8,clean,none,True,True,False,,None,False
169,04,True,11.1,11.9,0.8,clean,none,True,True,False,,None,False
170,04,True,11.7,12.1,0.4,clean,none,True,True,False,,None,False
171,04,True,11.3,12.0,0.7,clean,none,True,True,False,,None,False
172,04,True,10.5,10.8,0.3,clean,none,True,True,False,,None,False
173,04,True,11.5,11.8,0.3,clean,none,True,True,False,,None,False
174,04,True,9.8,11.0,1.2,clean,none,True,True,False,,None,False
175,04,True,11.3,11.5,0.2,clean,none,True,True,False,,None,False
176,04,True,10.8,11.100000000000001,0.3,clean,none,True,True,False,,None,False
177,04,False,,,,white_noise,medium,False,False,False,,White Noise Only,False
178,04,True,10.5,10.9,0.4,white_noise,medium,True,False,False,,White Noise,False
179,04,True,10.6,10.9,0.3,white_noise,medium,False,False,False,,White Noise With Word No Talking,False
180,04,True,10.4,10.5,0.1,white_noise,medium,True,False,False,,White Noise,True
181,04,False,,,,white_noise,medium,True,False,False,,White Noise No Word,False
182,04,True,11.3,11.5,0.2,white_noise,medium,True,False,False,,White Noise,False
183,04,True,10.6,10.7,0.1,clean,none,False,True,False,,No Talking,True
184,04,True,10.5,10.6,0.1,clean,none,False,True,True,annotator marked the end of the file corrupt,No Talking Corapt end,True
185,04,True,10.3,12.9,2.6,clean,none,True,True,False,,None,False
186,04,True,12.2,12.5,0.3,clean,none,True,True,False,,None,False
187,04,True,12.4,12.6,0.2,clean,none,True,True,False,,None,False
188,04,True,10.3,10.700000000000001,0.4,clean,none,True,True,False,,None,False
